Mood,DateRaw,type,noteMood,date
Confident,"November 17, 2023 at 02:18AM",goal,,11/17/2023 16:18:00
Happy,"November 17, 2023 at 02:18AM",mood,,11/17/2023 16:18:00
Nervous,"November 17, 2023 at 02:18AM",mood,,11/17/2023 16:18:00
Happy,"November 17, 2023 at 03:20AM",mood,,11/17/2023 17:20:00
Happy,"November 17, 2023 at 04:56AM",mood,,11/17/2023 18:56:00
Nervous,"November 17, 2023 at 09:57AM",mood,,11/17/2023 23:57:00
Тяжело было с т вдвоем. Хотел побыть один. Потом тупил,"November 17, 2023 at 09:58AM",note,nervous,11/17/2023 23:58:00
Neutral,"November 17, 2023 at 09:29PM",mood,,11/18/2023 11:29:00
Nervous,"November 17, 2023 at 10:28PM",mood,,11/18/2023 12:28:00
Размышление о том что надо что то сделать плюс бездействие = тревожность,"November 17, 2023 at 10:29PM",note,nervous,11/18/2023 12:29:00
Nervous,"November 17, 2023 at 11:01PM",mood,,11/18/2023 13:01:00
Happy,"November 18, 2023 at 06:18AM",mood,,11/18/2023 20:18:00
Nervous,"November 18, 2023 at 07:42PM",mood,,11/19/2023 9:42:00
Happy,"November 18, 2023 at 07:42PM",mood,,11/19/2023 9:42:00
Просто разбирать дела.  Не отвлекаться на их количество,"November 18, 2023 at 08:20PM",note,happy,11/19/2023 10:20:00
Neutral,"November 18, 2023 at 08:20PM",mood,,11/19/2023 10:20:00
Confident,"November 18, 2023 at 10:06PM",goal,,11/19/2023 12:06:00
"Иду в поход, собираю нас. Куча дел. Чувствую уверенность","November 18, 2023 at 10:06PM",note,happy,11/19/2023 12:06:00
Nervous,"November 19, 2023 at 12:59AM",mood,,11/19/2023 14:59:00
Confident,"November 19, 2023 at 01:31AM",goal,,11/19/2023 15:31:00
Happy,"November 19, 2023 at 01:31AM",mood,,11/19/2023 15:31:00
Happy,"November 19, 2023 at 01:33AM",mood,,11/19/2023 15:33:00
Happy,"November 19, 2023 at 01:33AM",mood,,11/19/2023 15:33:00
Happy,"November 19, 2023 at 01:33AM",mood,,11/19/2023 15:33:00
Confident,"November 19, 2023 at 01:34AM",goal,,11/19/2023 15:34:00
Happy,"November 19, 2023 at 01:50AM",mood,,11/19/2023 15:50:00
Happy,"November 19, 2023 at 02:13AM",mood,,11/19/2023 16:13:00
Nervous,"November 19, 2023 at 02:48AM",mood,,11/19/2023 16:48:00
Nervous,"November 19, 2023 at 03:24AM",mood,,11/19/2023 17:24:00
Happy,"November 19, 2023 at 03:40AM",mood,,11/19/2023 17:40:00
Happy,"November 19, 2023 at 03:41AM",mood,,11/19/2023 17:41:00
Happy,"November 19, 2023 at 04:10AM",mood,,11/19/2023 18:10:00
